# line,type,amount,ministry,source
154,Έσοδα,110000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Φόρος στη μεταβίβαση οικοπέδων και αγροκτημάτων
155,Έσοδα,488000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Φόρος στη μεταβίβαση οικοδομών
156,Έσοδα,488000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Φόρος στη μεταβίβαση οικοδομών
157,Έσοδα,19000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Φόρος στη συγκέντρωση κεφαλαίων
158,Έσοδα,19000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Φόρος στη συγκέντρωση κεφαλαίων
159,Έσοδα,38000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Φόρος επί των χρηματιστηριακών συναλλαγών
160,Έσοδα,38000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Φόρος επί των χρηματιστηριακών συναλλαγών
161,Έσοδα,2025,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Οικονομικό έτος:
163,Έσοδα,466000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Φόροι ταξινόμησης οχημάτων
164,Έσοδα,389000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Τέλος ταξινόμησης στα επιβατικά αυτοκίνητα
165,Έσοδα,46000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Τέλος ταξινόμησης στα φορτηγά αυτοκίνητα
166,Έσοδα,31000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Τέλος ταξινόμησης στα φορτηγά αυτοκίνητα - εγχώρια και από Ε.Ε.
167,Έσοδα,18000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Τέλος ταξινόμησης λοιπών οχημάτων
168,Έσοδα,11000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Τέλος ταξινόμησης λοιπών οχημάτων - εγχώρια και από Ε.Ε.
169,Έσοδα,2025,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Οικονομικό έτος:
171,Έσοδα,13000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Έκτακτο περιβαλλοντικό τέλος οχημάτων
172,Έσοδα,13000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Έκτακτο περιβαλλοντικό τέλος οχημάτων
173,Έσοδα,2318000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Λοιποί φόροι επί συγκεκριμένων υπηρεσιών
174,Έσοδα,5000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Φόροι στα κρατικά λαχεία
175,Έσοδα,5000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Φόροι στα κρατικά λαχεία
176,Έσοδα,54000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Φόροι στα μικτά κέρδη των καζίνο
177,Έσοδα,12000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Φόροι στα μικτά κέρδη των καζίνο Κέρκυρας και Πάρνηθας
178,Έσοδα,42000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Φόροι στα μικτά κέρδη των λοιπών καζίνο
179,Έσοδα,695000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Φόροι στα μικτά κέρδη τυχερών παιγνίων
180,Έσοδα,2025,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Οικονομικό έτος:
182,Έσοδα,695000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Φόροι στα μικτά κέρδη τυχερών παιγνίων
183,Έσοδα,72000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Τέλη Eurocontrol
184,Έσοδα,72000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Τέλη Eurocontrol
185,Έσοδα,5000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Τέλη εκσυγχρονισμού και ανάπτυξης αερολιμένων
186,Έσοδα,5000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Τέλη εκσυγχρονισμού και ανάπτυξης αερολιμένων
187,Έσοδα,2000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Τέλος ΑμεΑ στα αεροπορικά εισιτήρια
188,Έσοδα,2000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Τέλος ΑμεΑ στα αεροπορικά εισιτήρια
189,Έσοδα,12000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Τέλος Πλοίων Αναψυχής και Ημερόπλοιων (ΤΕ.Π.Α.Η)
190,Έσοδα,2025,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Οικονομικό έτος:
192,Έσοδα,586000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Φόρος ασφαλίστρων
193,Έσοδα,586000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Φόρος ασφαλίστρων
194,Έσοδα,52000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Τέλη συνδρομητών σταθερής τηλεφωνίας
195,Έσοδα,52000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Τέλη συνδρομητών σταθερής τηλεφωνίας
196,Έσοδα,160000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Τέλη συνδρομητών κινητής τηλεφωνίας
197,Έσοδα,160000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Τέλη συνδρομητών κινητής τηλεφωνίας
198,Έσοδα,23000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Τέλος στη συνδρομητική Τηλεόραση
199,Έσοδα,23000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Τέλος στη συνδρομητική Τηλεόραση
200,Έσοδα,2025,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Οικονομικό έτος:
202,Έσοδα,52000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Τέλος κρουαζιέρας
203,Έσοδα,52000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Τέλος κρουαζιέρας
204,Έσοδα,2000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Λοιποί ειδικοί φόροι σε υπηρεσίες
205,Έσοδα,2000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Λοιποί ειδικοί φόροι σε υπηρεσίες
206,Έσοδα,218000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Λοιποί Φόροι επί αγαθών
207,Έσοδα,3000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Εισφορά στο λάδι και στις ελιές για κάλυψη εξόδων δακοκτονίας
208,Έσοδα,76000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Ειδικοί Φόροι στη διακίνηση καυσίμων
209,Έσοδα,2025,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Οικονομικό έτος:
211,Έσοδα,76000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Ειδικοί Φόροι στη διακίνηση καυσίμων
212,Έσοδα,29000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Περιβαλλοντικά τέλη και εισφορές
213,Έσοδα,13000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Περιβαλλοντικό τέλος πλαστικής σακούλας
214,Έσοδα,16000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Εισφορά προστασίας του περιβάλλοντος για τα πλαστικά προϊόντα
215,Έσοδα,110000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Πράσινο τέλος στο diesel κίνησης
216,Έσοδα,110000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Πράσινο τέλος στο diesel κίνησης
217,Έσοδα,362000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,112 Φόροι και δασμοί επί εισαγωγών
218,Έσοδα,362000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Δασμοί
219,Έσοδα,338000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Δασμοί κοινού δασμολογίου
220,Έσοδα,338000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Δασμοί κοινού δασμολογίου
221,Έσοδα,2025,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Οικονομικό έτος:
