# line,type,amount,ministry,source
157,Έσοδα,1000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1140107001 Άδειες για την λειτουργία εταιριών κινητής τηλεφωνίας
158,Έσοδα,15000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1140189 Λοιπές Επιχειρηματικές και επαγγελματικές άδειες
159,Έσοδα,15000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1140189001 Λοιπές Επιχειρηματικές και επαγγελματικές άδειες
160,Έσοδα,443000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,11409 Διάφοροι άλλοι φόροι επί  παραγωγής
161,Έσοδα,14000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1140902 Έσοδα Ελληνικού Οργανισμού Φαρμάκων (Ε.Ο.Φ.)
162,Έσοδα,14000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1140902001 Έσοδα Ελληνικού Οργανισμού Φαρμάκων (Ε.Ο.Φ.)
163,Έσοδα,4000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1140903001 Τέλη υπέρ ΕΟΦ ετοιμότητας των ιατροτεχνολογικών προϊόντων
164,Έσοδα,1000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1140907 Κράτηση στις δαπάνες έργων  των Ο.Τ.Α. για την Τ.Υ.Δ.Κ.
165,Έσοδα,1000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1140907001 Κράτηση στις δαπάνες έργων  των Ο.Τ.Α. για την Τ.Υ.Δ.Κ.
166,Έσοδα,21000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1140910 Άδειες ραδιοφωνικών και τηλεοπτικών Σταθμών
167,Έσοδα,21000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1140910001 Άδειες ραδιοφωνικών και τηλεοπτικών Σταθμών
168,Έσοδα,358000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1140911001 Συμμετοχή του Δημοσίου στα κέρδη της Τράπεζας της Ελλάδος
169,Έσοδα,4000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1140989 Λοιπoί φόροι επί της παραγωγής
170,Έσοδα,4000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1140989001 Λοιπoί φόροι επί της παραγωγής
171,Έσοδα,17136000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,115 Φόρος εισοδήματος
172,Έσοδα,10907000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,11501 Φόρος εισοδήματος πληρωτέος από Φυσικά Πρόσωπα (ΦΠ)
173,Έσοδα,2728000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1150101 Φόρος στο εισόδημα ΦΠ - εκκαθάριση δηλώσεων
174,Έσοδα,2728000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1150101001 Φόρος στο εισόδημα ΦΠ - εκκαθάριση δηλώσεων
175,Έσοδα,237000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1150102 Φόρος στο εισόδημα ΦΠ - προκαταβολή
176,Έσοδα,237000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1150102001 Φόρος στο εισόδημα ΦΠ - προκαταβολή
